Urls site Jecompare.immo;Residence;Urls site Leemo;Ville;Promoteur;Loi;Date du scrap
http://www.jecompare.immo/Residence_ALLURE_Pinel__.php;ALLURE;programme.php?l=Pinel&d=75&x=15574;;Ogic;Pinel;01/13/2017 10:53:56
http://www.jecompare.immo/Residence_Altéa_Pinel_37100_Tours.php;Altéa;programme.php?l=Pinel&d=37&x=18447;Tours;Crédit Foncier Immobilier;Pinel;01/13/2017 10:45:01
http://www.jecompare.immo/Residence_Carré_Vert_Programme_neuf__.php;Carré Vert;programme.php?l=Droit commun&d=93&x=14763;;Les Nouveaux Constructeurs;Programme neuf;01/13/2017 10:43:46
http://www.jecompare.immo/Residence_Castelli_Pinel_06340_La_Trinité.php;Castelli;programme.php?l=Pinel&d=06&x=17200;La Trinité;Tagerim;Pinel;01/13/2017 11:38:12
http://www.jecompare.immo/Residence_CENTRAL_PARK_Programme_neuf_44100_Nantes.php;CENTRAL PARK;programme.php?l=Droit commun&d=44&x=19593;Nantes;Kaufman and Broad;Programme neuf;01/13/2017 10:57:04
http://www.jecompare.immo/Residence_CITY_NATURE_Pinel_91290_Arpajon.php;CITY NATURE;programme.php?l=Pinel&d=91&x=13720;Arpajon;Eiffage Immobilier;Pinel;01/13/2017 11:08:35
http://www.jecompare.immo/Residence_Coeur_de_Marne_-_Lancement_Pinel__.php;Coeur de Marne - Lancement;programme.php?l=Pinel&d=94&x=18311;;Cogedim;Pinel;01/13/2017 10:53:01
http://www.jecompare.immo/Residence_COEUR_DE_VILLE_Pinel_44600_Saint-Nazaire.php;COEUR DE VILLE;programme.php?l=Pinel&d=44&x=18491;Saint-Nazaire;Bouygues;Pinel;01/13/2017 11:42:28
http://www.jecompare.immo/Residence_CÔTE_CANAL_TR2_Pinel__.php;CÔTE CANAL TR2;programme.php?l=Pinel&d=67&x=17081;;Vinci Immobilier;Pinel;01/13/2017 11:20:00
http://www.jecompare.immo/Residence_Coté_Parc_Programme_neuf_93200_Saint-Denis.php;Coté Parc;programme.php?l=Droit commun&d=93&x=19263;Saint-Denis;Les Nouveaux Constructeurs;Programme neuf;01/13/2017 11:01:26
http://www.jecompare.immo/Residence_DELTA_CITY_PARK_Pinel__.php;DELTA CITY PARK;programme.php?l=Pinel&d=62&x=16802;;Fiducim;Pinel;01/13/2017 11:14:54
http://www.jecompare.immo/Residence_ERDRE_ET_PARC_-_NANTES_Pinel_44300_Nantes.php;ERDRE ET PARC - NANTES;programme.php?l=Pinel&d=44&x=15027;Nantes;Nacarat;Pinel;01/13/2017 10:41:54
http://www.jecompare.immo/Residence_HORIZON_Pinel__.php;HORIZON;programme.php?l=Pinel&d=44&x=18060;;Nexity;Pinel;01/13/2017 10:37:06
http://www.jecompare.immo/Residence_Iguzki_Pinel__.php;Iguzki;programme.php?l=Pinel&d=64&x=19364;;Robert Alday;Pinel;01/13/2017 10:51:37
http://www.jecompare.immo/Residence_INSIDE_Pinel_56000_Vannes.php;IN SITU;programme.php?l=Pinel&d=31&x=17635;Toulouse;Bouygues;Pinel;01/13/2017 11:27:26
http://www.jecompare.immo/Residence_IN_SITU_Pinel_31300_Toulouse.php;INSIDE;programme.php?l=Pinel&d=56&x=17033;Vannes;Nexity;Pinel;01/13/2017 11:09:49
http://www.jecompare.immo/Residence_La_Menèla_Pinel_31200_Toulouse.php;La Menèla;programme.php?l=Pinel&d=31&x=17968;Toulouse;Vinci Immobilier / Labo Immo;Pinel;01/13/2017 10:36:20
http://www.jecompare.immo/Residence_L'Adresse_Libération_Programme_neuf_38100_Grenoble.php;L'Adresse Libération;programme.php?l=Droit commun&d=38&x=17708;Grenoble;Bouygues;Programme neuf;01/13/2017 10:39:37
http://www.jecompare.immo/Residence_Le_Campus_Pinel_67100_Strasbourg.php;Le Campus;programme.php?l=Pinel&d=67&x=18513;Strasbourg;Crédit Foncier Immobilier;Pinel;01/13/2017 10:34:55
http://www.jecompare.immo/Residence_LE_CLOS_D'EMILIE_Pinel_01210_Ferney-Voltaire.php;LE CLOS D'EMILIE;programme.php?l=Pinel&d=01&x=18372;Ferney-Voltaire;Green City;Pinel;01/13/2017 10:33:48
http://www.jecompare.immo/Residence_LE_CLOS_DU_PALADIN_Pinel_31240_Saint-Jean.php;LE CLOS DU PALADIN;programme.php?l=Pinel&d=31&x=15268;Saint-Jean;Kaufman and Broad;Pinel;01/13/2017 10:58:40
http://www.jecompare.immo/_Les_Ponts-de-Cé_Pinel__.php;LE NOBEL / Les Ponts-de-Cé;programme.php?l=Pinel&d=49&x=19120;;Seri Ouest;Pinel;01/13/2017 11:14:08
http://www.jecompare.immo/Residence_L'ENVOL_Pinel__.php;L'ENVOL;programme.php?l=Pinel&d=67&x=19312;;Bouygues;Pinel;01/13/2017 11:26:21
http://www.jecompare.immo/Residence_Les_Jardins_de_la_Soie_Pinel_69120_Vaulx-en-Velin.php;Les Jardins de la Soie;programme.php?l=Pinel&d=69&x=18293;Vaulx-en-Velin;Cogedim;Pinel;01/13/2017 10:47:45
http://www.jecompare.immo/_Rennes_Pinel_35000_Rennes.php;LES PAPETERIES ADAGIO & MAESTRO / Rennes;programme.php?l=Pinel&d=35&x=13736;Rennes;Seri Ouest;Pinel;01/13/2017 11:18:41
http://www.jecompare.immo/Residence_Les_Senioriales_de_Nîmes_Programme_neuf_30000_Nîmes.php;Les Senioriales de Nîmes;programme.php?l=Droit commun&d=30&x=16328;Nîmes;Les Senioriales;Programme neuf;01/13/2017 11:36:35
http://www.jecompare.immo/Residence_Les_Villas_du_Vert_Galant_Pinel_93420_Villepinte.php;Les Villas du Vert Galant;programme.php?l=Pinel&d=93&x=19309;Villepinte;European Homes;Pinel;01/13/2017 11:44:34
http://www.jecompare.immo/Residence_L'Orée_du_Verger_Pinel_01210_Ornex.php;L'Orée du Verger;programme.php?l=Pinel&d=01&x=18354;Ornex;Cogedim;Pinel;01/13/2017 11:11:14
http://www.jecompare.immo/Residence_Métrocity_Pinel_31200_Toulouse.php;Métrocity;programme.php?l=Pinel&d=31&x=16149;Toulouse;Crédit Foncier Immobilier;Pinel;01/13/2017 11:48:18
http://www.jecompare.immo/Residence_MOZAIK_Pinel__.php;MOZAIK;programme.php?l=Pinel&d=95&x=13900;;Nexity;Pinel;01/13/2017 10:42:48
http://www.jecompare.immo/Residence_Natura_Parc_Programme_neuf_4_Boulevard_Eugène_Deruelle.php;Natura Parc;programme.php?l=Droit commun&d=69&x=16694;Boulevard Eugène Deruelle;Les Nouveaux Constructeurs;Programme neuf;01/13/2017 11:22:48
http://www.jecompare.immo/_Pulse_Programme_neuf_94000_Créteil.php;Néo C / Pulse;programme.php?l=Droit commun&d=94&x=17724;Créteil;Bouygues;Programme neuf;01/13/2017 11:24:25
http://www.jecompare.immo/Residence_NIWA_Pinel__.php;NIWA;programme.php?l=Pinel&d=92&x=17597;;Bouygues;Pinel;01/13/2017 11:03:39
http://www.jecompare.immo/Residence_Nouvel'R_Pinel__.php;Nouvel'R;programme.php?l=Pinel&d=34&x=18842;;Urbat;Pinel;01/13/2017 11:07:22
http://www.jecompare.immo/Residence_O_CENTRE_Pinel_78270_Bonnières-sur-Seine.php;O CENTRE;programme.php?l=Pinel&d=78&x=13988;Bonnières-sur-Seine;Nexity;Pinel;01/13/2017 11:47:10
http://www.jecompare.immo/Residence_ONLY_ROC_TRANCHE_3__BAT_G&H_Pinel__.php;ONLY ROC TRANCHE 3  BAT G&H;programme.php?l=Pinel&d=83&x=18766;;Vinci Immobilier;Pinel;01/13/2017 11:04:52
http://www.jecompare.immo/Residence_Optilium_Pinel_44120_Vertou.php;Optilium;programme.php?l=Pinel&d=44&x=18257;Vertou;Cogedim;Pinel;01/13/2017 11:33:08
http://www.jecompare.immo/Residence_Perspectives_Arnoa_Pinel__.php;Perspectives Arnoa;programme.php?l=Pinel&d=33&x=18899;;Robert Alday;Pinel;01/13/2017 11:02:35
http://www.jecompare.immo/Residence_PRISMA_Pinel_35000_Rennes.php;PRISMA;programme.php?l=Pinel&d=35&x=17640;Rennes;Bouygues;Pinel;01/13/2017 10:38:17
http://www.jecompare.immo/Residence_PYTHAGORE_TR1_Pinel_31100_Toulouse.php;PYTHAGORE TR1;programme.php?l=Pinel&d=31&x=18074;Toulouse;Vinci Immobilier;Pinel;01/13/2017 11:15:58
http://www.jecompare.immo/Residence_Quartier_des_Arts_Pinel_92800_Puteaux.php;Quartier des Arts;programme.php?l=Pinel&d=92&x=19112;Puteaux;Catella Residential;Pinel;01/13/2017 10:50:25
http://www.jecompare.immo/Residence_Résidence_Albiona_Pinel_31300_Toulouse.php;Résidence Albiona;programme.php?l=Pinel&d=31&x=15373;Toulouse;Fonta;Pinel;01/13/2017 10:46:18
http://www.jecompare.immo/Residence_Résidence_Côté_Parc_Pinel_35310_Mordelles.php;Résidence Côté Parc;programme.php?l=Pinel&d=35&x=14277;Mordelles;Imodeus;Pinel;01/13/2017 11:45:39
http://www.jecompare.immo/Residence_Résidence_CREALYS_Pinel_31600_Saubens.php;Résidence CREALYS;programme.php?l=Pinel&d=31&x=13374;Saubens;Carrere;Pinel;01/13/2017 11:49:24
http://www.jecompare.immo/Residence_Royal_Saint_Cyprien_Pinel_31300_Toulouse.php;Royal Saint Cyprien;programme.php?l=Pinel&d=31&x=18876;Toulouse;Belin / Labo Immo;Pinel;01/13/2017 11:00:02
http://www.jecompare.immo/Residence_SCALA_Programme_neuf_67380_Lingolsheim.php;SCALA;programme.php?l=Droit commun&d=67&x=19289;Lingolsheim;Nexity;Programme neuf;01/13/2017 11:40:02
http://www.jecompare.immo/_Chartres-de-Bretagne_Pinel__.php;SO ZEN / Chartres-de-Bretagne;programme.php?l=Pinel&d=35&x=18115;;Seri Ouest;Pinel;01/13/2017 11:17:28
http://www.jecompare.immo/Residence_VIA_TOLOSA_Pinel__.php;VIA TOLOSA;programme.php?l=Pinel&d=31&x=16843;;Nexity;Pinel;01/13/2017 11:34:51
http://www.jecompare.immo/Residence_Victor_Hugo_Pinel_06150_Cannes.php;Victor Hugo;programme.php?l=Pinel&d=06&x=15686;Cannes;Tagerim;Pinel;01/13/2017 11:12:24
http://www.jecompare.immo/Residence_Villa_Artemis_Pinel_94130_Nogent-sur-Marne.php;Villa Artemis;programme.php?l=Pinel&d=94&x=19526;Nogent-sur-Marne;Catella Residential;Pinel;01/13/2017 10:40:49
http://www.jecompare.immo/Residence_VILLA_KERLOR_Pinel__.php;VILLA KERLOR;programme.php?l=Pinel&d=44&x=18613;;Crédit Agricole Immobilier;Pinel;01/13/2017 11:21:43
http://www.jecompare.immo/Residence_VILLA_RUBELLA_Pinel__.php;VILLA RUBELLA;programme.php?l=Pinel&d=77&x=18549;;Bouygues;Pinel;01/13/2017 11:35:34
http://www.jecompare.immo/Residence_VILLA_SAINT_GEORGES_Pinel__.php;VILLA SAINT GEORGES;programme.php?l=Pinel&d=77&x=13483;;Edouard Denis;Pinel;01/13/2017 10:54:44
